name,purpose,category,website
360BHM,"The purpose of the 360BHM is to this series seeks to educate, enhance, and entertain the university and Gainesville communities by reflecting on the contributions that Black Americans have made. It is our goal to advocate exposure of refined enrichment inspired by the heritage and legacy of universal Black culture.",Cultural,N/A
3D Printing Club,"The 3D Printing Club is established for the purpose of educating UF students on the world of 3D printing and how 3D printing and related skills can be used within their education, professionally, and leisurely. Additionally, projects will be set in place to address issues seen within the University of Florida, the local Gainesville area, and nationally.",Special Interests,N/A
A Reason to Give,Our goal is to help serve the homeless population in Gainesville by providing weekly lunches!,Community/Volunteer Service,N/A
Ability Service Training Responsibility Achievement,"ASTRA is a service organization that welcomes all majors. We work to make community service accessible to all college students. We participate in service projects such as Ronald McDonald House, Project Makeover, Bread of the Mighty, and March of Dimes. This way we can help the Gainesville community, a high need area, in ways that may be overlooked for broader issues. Members can also explore their passions/interests through the variety of events we offer.","Business, Professional/Career",N/A
Academy of Managed Care Pharmacy- Orlando Campus,"The purpose of the AMCP Student Chapter of the Academy of Managed Care Pharmacy, in keeping with the mission of the AMCP, is to encourage the education, development, and promotion of the principles and practices of managed care pharmacy.","Pharmacy, Professional/Career",N/A
Accent A Cappella,"Accent A Cappella (formerly known as No Southern Accent) is the University of Florida's premier all-gender a cappella group founded in 2001. We actively compete in the International Championship of Collegiate A Cappella (Quarterfinal Champions 2014), SoJam Festival (Second Runner-Up 2017), BOSS Sings Festival (numerous awards 2018), and travel for performances and gigs all around the country! We have released three studio albums available on all streaming platforms: Permanent Address (2019), Good To The Last Drop (2016), and Group Therapy (2011). Additionally, we will have two singles releasing in Fall 2021.","Fine Arts, Special Interests",N/A
Active Minds at Florida,"The purpose of Active Minds at Florida is to explore and promote mental health education issues related to the student experience. Active Minds at Florida will help those interested in stress relief and the mental health community get to know one another outside the classroom. Ultimately, this will create lasting change in the way mental health is discussed, viewed, and handled on the University campus.",Social and Global Change,N/A
Actively Moving Forward,The purpose of this organization is support students grieving the illness or death of a loved one and provide opportunities for the entire campus community to volunteer and participate in events to raise money and awareness for causes important to the chapter members.,"Community/Volunteer Service, Special Interests",N/A
Acts of Random Kindness,The purpose of the organization is to bring the students of the University of Florida together in a cooperative and caring way. The goal is to spread kindness throughout campus through group organized activities,Community/Volunteer Service,N/A
Actualize,"Discuss and question a student's beliefs, values, and motivations through emotionally intelligent discussions, resulting in a more purposeful personal and professional life.","Professional/Career, Special Interests",N/A
Adaa,"The purpose of Adaa is to display Indian culture through a fusion of Bollywood, contemporary, and classical dancing. Adaa is a place where those judgments fall silent. The team is focused on being the best it can and putting in the effort to grow. We don't seek experienced dancers with advanced skills, but rather we seek diligent and dedicated hearts.",Cultural,N/A
Adopted Student Organization,The purpose of the organization is to create a supportive community for all adoptees and those interested in learning more about adoption. We will host various events throughout the year as an opportunity to share our experiences and educate about adoption through meaningful discussions. We will also participate in related philanthropic efforts to support adoptees and children in foster care in the Gainesville community and around the world.,"Cultural, Special Interests",N/A
Advanced Professional Degree Consulting Club,"1. The APD Consulting Club informs and prepares advanced professional degree students at UF about possible careers in management consulting. 2. The APD Consulting Club provides consulting-focused career resources, case interview preparation, and other professional development opportunities for UF advanced professional degree students. 3. The APD Consulting Club works to facilitate activities that involve educational and philanthropic efforts such as case competitions, and seminars focused on consulting services. 4. The APD Consulting Club aims to build alumni network of advanced professional degree consultants from UF.",miscellaneous,N/A
Adventist Christian Fellowship,"Adventist Christian Fellowship is established for the purpose of representing the love of Jesus Christ. As a Christian Organization, we seek to spread the Advent Message and share the love of Jesus Christ to all those willing to receive it through open campus activities, Bible discussion, and other unique forms of fellowship. We show no preference or privilege on the basis of race, gender, sexual orientation or religious background.","Media/Publication, Religious/Spiritual",N/A
Advertising Society,"Ad Society is the advertising student organization at the University of Florida. Open to all majors, Ad Society holds general body meetings with guest speakers from the industry, takes trips to visit advertising agencies in various cities, and hosts workshops for students professional improvement.","Journalism and Communications, Media/Publication, Professional/Career",N/A
AeroGator,"Aerogators is dedicated to giving students from any major or background hands on experience in the Aerospace field. Through time spent designing and building aircraft we aim to prepare our students for industry by enabling them to apply techniques learned in the classroom, and master of new skills that will be of lifelong value.","Engineering, Professional/Career, Special Interests",N/A
African Americans/Africans/African Diaspora in Electrical and Computer Engineering,"The purpose of African/African Americans/African Diaspora in Electrical and Computer Engineering (A3ECE) is to provide support for Black undergraduate and graduate students by facilitating networking opportunities, professional development, and creating a diverse and inclusive community in the ECE department. A3ECE also seeks to assist those in surrounding communities in ECE related issues.","Cultural, Engineering",N/A
African Student Union,"We, the African Student Union (ASU) have hereby founded this organization to support and unite African students and to promote awareness of African issues and culture to all students and the Gainesville community.","Cultural, Community/Volunteer Service, Social and Global Change",N/A
Agricultural and Biological Engineering Graduate Student Organization,"ABEGSO is established for the purpose of supporting and encouraging graduate students academic, social, university and community involvement and to further the education of members interested in Agricultural and Biological Engineering and its related fields at the University of Florida.","Agricultural and Life Sciences, Professional/Career",N/A
Agricultural and Life Sciences College Council,Provide leadership for CALS students and student organizations.,"Agricultural and Life Sciences, Professional/Career",N/A
Agricultural Economics Club,"To promote interest in the field of agricultural and applied economics; including but not limited to agrimarketing, agribusiness and natural resource and environmental economics. b. To develop a relationship between students and faculty of the Food and Resource Economics Department (FRED) that will further awareness about agricultural and resource economics. c. To provide a liaison between club members and industry professionals and provide a forum to exchange ideas. d. To provide opportunity for development of leaders among members of this organization.","Agricultural and Life Sciences, Professional/Career",N/A
Agriculture Operations Management Club,"The purpose of the Agriculture Operations Management Club is to acquaint present and potential members with opportunities in Agricultural Operations Management, to acquaint industry and the general public with Agricultural Operations Management, to develop leadership potential and create a spirit of fellowship among members, to foster the development of professional attitudes, to encourage recognition of the need for continued professional and intellectual improvement, to promote the interests of students in Agricultural Operations Management as these interests relate to professional advancement and the American Society of Agricultural Engineers.","Agricultural and Life Sciences, Professional/Career",N/A
Agronomy Graduate Student Organization,"The Agronomy Graduate Student Association is created for the improvement of the graduate student experience in the Agronomy Department of the University of Florida by seeking to develop fellowship among them. The specific objectives and purpose of the Agronomy Graduate Student Association include, but are not limited to, organizing social activities, providing networking and professional opportunities, and serving as a liaison between the Agronomy graduate students and the University of Florida administration and student government.","Agricultural and Life Sciences, Professional/Career",N/A
Air & Waste Management Association,"Air & Waste Management Association (A&WMA) is a non-profit professional organization that has over 5,000 professionals in 65 countries. The University of Florida (UF) AWMA chapter's purpose is to provide students and interested persons opportunity to better connect with others from the environmental and civil engineering, natural sciences, sustainability, environmental management and other STEM fields.","Political Interests, Social and Global Change",N/A
"Air, Space, and Ocean Law Society","The Air, Space, and Ocean Law Society is established for the purpose of developing interest in aviation law, space law, and ocean law.",miscellaneous,N/A
Alagarto Printmaking Guild,Our purpose is to help promote and spread the ideas and processes of printmaking.,"Fine Arts, Media/Publication",N/A
Alive Young Adults,"The purpose of Alive Young Adults is to create a safe space for young adults and students at UF to encounter God, build their faith, and find family and community to do life with. Alive Young Adults will offer monthly worship services that include teachings from the Bible. These services will be available to all on-campus students and students and young adults throughout the community of Gainesville.","Community/Volunteer Service, Religious/Spiritual",N/A
ALPHA CHI OMEGA,"The Alpha Chi Omega Fraternity is devoted to enriching the lives of members through lifetime opportunities of friendship, leadership, learning and service.",Panhellenic Council,N/A
ALPHA DELTA PI,"Established in 1851, Alpha Delta Pi is committed to sisterhood, values and ethics, high academic standards and social responsibility.",Panhellenic Council,N/A
Alpha Epsilon Delta,"Alpha Epsilon Delta (Florida Alpha Chapter) is a respected organization and the most renowned chapter in the U.S. We are a pre-professional honor society dedicated to providing unique community service opportunities and guidance throughout the undergraduate process. AED participates in over 100 projects each year in affiliation with the Climb for Cancer Foundation, Florida Diabetes Camp, Mobile Outreach Clinic, Alachua County Health Department, Shands Hospital, Alachua County Humane Society, and St. Jude Children's Research Hospital to name a few.",Professional/Career,N/A
Alpha Epsilon Lambda (AEL),"The Alpha Chapter of AEL has been founded to recognize, promote, and foster outstanding leadership, academic achievement, and service among graduate and professional students; and to encourage and support the development of all graduate and professional student organizations at the University of Florida.",Other,N/A
ALPHA EPSILON PHI,"The mission of Alpha Epsilon Phi Sorority is to inspire and support exemplary women dedicated to friendship and a lifelong commitment to Alpha Epsilon Phi while building on the vision of our founders. The Alpha Tau chapter at the University of Florida lives by its motto ""Multa Corda, Una Casa"" or ""Many Hearts, One Purpose.""",Panhellenic Council,N/A
ALPHA EPSILON PI,"Throughout our history, the fraternity setting has served as a ślearning laboratoryť, a testing ground for young men who later become leaders in business, education, government, religion, and science. A goal of our fraternity is to help each student to develop character, to learn responsibility, and to develop a proper set of values through living together in brotherhood. Alpha Epsilon Pi prepares young men for their role in life as responsible citizens.",Interfraternity Council ,N/A
ALPHA GAMMA RHO,"The purpose of Alpha Gamma Rho: To make better men and through them a broader and better agriculture by surrounding our member with influences intending to encourage individual endeavor, resourcefulness, and aggressive effort; along lines making for the development of better mental, social, moral, and physical qualities; To promote a wider acquaintance and broader outlook on the part of agricultural men through fellowship in a national organization that stands for the best social, mental, and moral development.",Interfraternity Council ,N/A
ALPHA KAPPA ALPHA,"The purpose of Alpha Kappa Alpha Sorority is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women, to study and help alleviate problems concerning girls and women in order to improve their social stature, to maintain a progressive interest in college life, and to be of service to all mankind.",National Pan-Hellenic Council,N/A
Alpha Kappa Delta,"We promote excellence in the study of sociology, research of social problems, and other social and intellectual activities that will lead to improvement in the human condition.",Professional/Career,N/A
