,,,,Department of Student Activities and Involvement,,
,,,,,,
,,,Directory of Organizations,,,
,,,,,,
,,,,,,
Organization,,,,,,
360BHM,,,,,,
3D Printing Club,,,,,,
A Reason to Give,,,,,,
Ability Service Training Responsibility Achievement,,,,,,
Academy of Managed Care Pharmacy- Orlando Campus,,,,,,
Accent A Cappella,,,,,,
Active Minds at Florida,,,,,,
Actively Moving Forward,,,,,,
Acts of Random Kindness,,,,,,
Actualize,,,,,,
Adaa,,,,,,
Adopted Student Organization,,,,,,
Advanced Professional Degree Consulting Club,,,,,,
Adventist Christian Fellowship,,,,,,
Advertising Society,,,,,,
AeroGator,,,,,,
African Americans/Africans/African Diaspora in Electrical and Computer Engineering,,,,,,
African Student Union,,,,,,
Agricultural and Biological Engineering Graduate Student Organization,,,,,,
Agricultural and Life Sciences College Council,,,,,,
Agricultural Economics Club,,,,,,
Agriculture Operations Management Club,,,,,,
Agronomy Graduate Student Organization,,,,,,
Air & Waste Management Association,,,,,,
"Air, Space, and Ocean Law Society",,,,,,
Alagarto Printmaking Guild,,,,,,
Alive Young Adults,,,,,,
ALPHA CHI OMEGA,,,,,,
ALPHA DELTA PI,,,,,,
Alpha Epsilon Delta,,,,,,
Alpha Epsilon Lambda (AEL),,,,,,
ALPHA EPSILON PHI,,,,,,
ALPHA EPSILON PI,,,,,,
ALPHA GAMMA RHO,,,,,,
ALPHA KAPPA ALPHA,,,,,,
Alpha Kappa Delta,,,,,,
alpha KAPPA DELTA PHI,,,,,,
Alpha Kappa Psi,,,,,,
Alpha Omega,,,,,,
Alpha Omega - Jewish Dental Society,,,,,,
ALPHA OMICRON PI,,,,,,
ALPHA PHI,,,,,,
ALPHA PHI ALPHA,,,,,,
Alpha Phi Omega,,,,,,
Alpha Pi Mu,,,,,,
ALPHA TAU OMEGA,,,,,,
Alpha Zeta,,,,,,
American Association for Aerosol Research-student chapter,,,,,,
"American Association for Dental, Oral, and Craniofacial Research Student Research Group Florida Chapter",,,,,,
American Association of Public Health Dentistry,,,,,,
American Association of Women Dentists,,,,,,
American College of Clinical Pharmacy,,,,,,
American College of Clinical Pharmacy Jacksonville,,,,,,
American Concrete Institute,,,,,,
American Constitution Society for Law and Policy,,,,,,
American Institute of Aeronautics and Astronautics,,,,,,
American Institute of Architecture Students,,,,,,
American Institute of Chemical Engineers,,,,,,
American Marketing Association,,,,,,
American Medical Association Medical Student Section,,,,,,
American Meteorological Society,,,,,,
American Nuclear Society,,,,,,
American Pharmacists Association - Academy of Student Pharmacists - Gainesville,,,,,,
American Pharmacists Association - Academy of Student Pharmacists - Jacksonville,,,,,,
American Physician Scientists Association,,,,,,
"American Society for Microbiology, Student Chapter",,,,,,
American Society of Biomechanics,,,,,,
American Society of Civil Engineers,,,,,,
American Society of Consultant Pharmacists,,,,,,
American Society of Landscape Architects - Student Chapter,,,,,,
American Society of Mechanical Engineers,,,,,,
American Student Dental Association,,,,,,
American Water Resources Association,,,,,,
American Water Works Association,,,,,,
Amnesty International Gainesville,,,,,,
Ancient Mythology Association,,,,,,
Animal Health and Wellness Club,,,,,,
Animal Science Graduate Student Organization,,,,,,
Anything Goes Poetry,,,,,,
"Apollodorus Chapter of Alpha Rho Chi Fraternity, Inc.",,,,,,
Aquatic Adventures Club,,,,,,
Aquatic Animal Health Club,,,,,,
Arab Students' Association,,,,,,
Architrave,,,,,,
Argentine Student Association,,,,,,
Arnold Air Society-Silver Wings,,,,,,
Art History Association,,,,,,
Art Law Society,,,,,,
Arts in Health,,,,,,
Asha Florida,,,,,,
Asian American Journalists Association,,,,,,
Asian American Student Assembly,,,,,,
Asian American Student Union,,,,,,
Asian and Pacific American Law Students Association,,,,,,
Asian Kaleidoscope Month,,,,,,
Asian Public Relations Student Association,,,,,,
Assemble Ballet Company,,,,,,
Associated Builders and Contractors,,,,,,
Association for Law and Business,,,,,,
Association for Media Professionals,,,,,,
Association for Tax Law,,,,,,
Association for Women in Sports Media,,,,,,
Association of Computer Engineers,,,,,,
Association of Latino Professionals in Finance and Accounting,,,,,,
Association of Saudi Arabian Students,,,,,,
Association of Zamorano Alumni,,,,,,
Astronomy and Astrophysics Society,,,,,,
Athletic Training Student Association,,,,,,
Atrium,,,,,,
Audio Engineering Society,,,,,,
Audiobook Book Club,,,,,,
Autism Speaks U,,,,,,
Avigator Booster Club,,,,,,
Bachelor of Arts in Digital Arts and Sciences Society,,,,,,
Baha'i Association,,,,,,
Balkan Student Association,,,,,,
Bangladeshi Students' Association,,,,,,
BAPS Campus Fellowship,,,,,,
Baptist Collegiate Ministries,,,,,,
Be The Match On Campus,,,,,,
Benton Engineering Council,,,,,,
Best Buddies,,,,,,
Beta Alpha Psi,,,,,,
BETA CHI THETA,,,,,,
Beta Eta Sigma Honor Society,,,,,,
Beta Iota Chapter of the Alpha Chi Sigma Fraternity,,,,,,
BETA THETA PI,,,,,,
Beta Xi Chapter of Tau Beta Sigma,,,,,,
Beyond120 Young Professionals,,,,,,
Big Sister Little Sister Mentoring Program,,,,,,
Bioethics Society,,,,,,
Biomedical Engineering Graduate Student Council,,,,,,
Biomedical Engineering Society,,,,,,
Biomedical Engineering Student IDEA Committee,,,,,,
